records	Author	journal	year	type	NCR
465	Weiss, William A	AUTOPHAGY	2012	Review	884
465	Welford, Scott M	AUTOPHAGY	2012	Review	884
465	Wen, Long-Ping	AUTOPHAGY	2012	Review	884
465	Whitehouse, Caroline A	AUTOPHAGY	2012	Review	884
465	Whitton, J. Lindsay	AUTOPHAGY	2012	Review	884
465	Whitworth, Alexander J	AUTOPHAGY	2012	Review	884
465	Wileman, Tom	AUTOPHAGY	2012	Review	884
465	Wiley, John W	AUTOPHAGY	2012	Review	884
465	Wilkinson, Simon	AUTOPHAGY	2012	Review	884
465	Willbold, Dieter	AUTOPHAGY	2012	Review	884
465	Williams, Roger L	AUTOPHAGY	2012	Review	884
465	Williamson, Peter R	AUTOPHAGY	2012	Review	884
465	Wouters, Bradly G	AUTOPHAGY	2012	Review	884
465	Wu, Chenghan	AUTOPHAGY	2012	Review	884
465	Wu, Dao-Cheng	AUTOPHAGY	2012	Review	884
465	Wu, William K. K	AUTOPHAGY	2012	Review	884
465	Wyttenbach, Andreas	AUTOPHAGY	2012	Review	884
465	Xavier, Ramnik J	AUTOPHAGY	2012	Review	884
465	Xi, Zhijun	AUTOPHAGY	2012	Review	884
465	Xia, Pu	AUTOPHAGY	2012	Review	884
465	Xiao, Gengfu	AUTOPHAGY	2012	Review	884
465	Xie, Zhiping	AUTOPHAGY	2012	Review	884
465	Xie, Zhonglin	AUTOPHAGY	2012	Review	884
465	Xu, Da-zhi	AUTOPHAGY	2012	Review	884
465	Xu, Jianzhen	AUTOPHAGY	2012	Review	884
465	Xu, Liang	AUTOPHAGY	2012	Review	884
465	Xu, Xiaolei	AUTOPHAGY	2012	Review	884
465	Yamamoto, Ai	AUTOPHAGY	2012	Review	884
465	Yamamoto, Akitsugu	AUTOPHAGY	2012	Review	884
465	Yamashina, Shunhei	AUTOPHAGY	2012	Review	884
465	Yamashita, Michiaki	AUTOPHAGY	2012	Review	884
465	Yan, Xianghua	AUTOPHAGY	2012	Review	884
465	Yanagida, Mitsuhiro	AUTOPHAGY	2012	Review	884
465	Yang, Dun-Sheng	AUTOPHAGY	2012	Review	884
465	Yang, Elizabeth	AUTOPHAGY	2012	Review	884
465	Yang, Jin-Ming	AUTOPHAGY	2012	Review	884
465	Yang, Shi Yu	AUTOPHAGY	2012	Review	884
465	Yang, Wannian	AUTOPHAGY	2012	Review	884
465	Yang, Wei Yuan	AUTOPHAGY	2012	Review	884
465	Yang, Zhifen	AUTOPHAGY	2012	Review	884
465	Yao, Meng-Chao	AUTOPHAGY	2012	Review	884
465	Yao, Tso-Pang	AUTOPHAGY	2012	Review	884
465	Yeganeh, Behzad	AUTOPHAGY	2012	Review	884
465	Yen, Wei-Lien	AUTOPHAGY	2012	Review	884
465	Yin, Jia-jing	AUTOPHAGY	2012	Review	884
465	Yin, Xiao-Ming	AUTOPHAGY	2012	Review	884
465	Yoo, Ook-Joon	AUTOPHAGY	2012	Review	884
465	Yoon, Gyesoon	AUTOPHAGY	2012	Review	884
465	Yoon, Seung-Yong	AUTOPHAGY	2012	Review	884
465	Yorimitsu, Tomohiro	AUTOPHAGY	2012	Review	884
465	Yoshikawa, Yuko	AUTOPHAGY	2012	Review	884
465	Yoshimori, Tamotsu	AUTOPHAGY	2012	Review	884
465	Yoshimoto, Kohki	AUTOPHAGY	2012	Review	884
465	You, Ho Jin	AUTOPHAGY	2012	Review	884
465	Youle, Richard J	AUTOPHAGY	2012	Review	884
465	Younes, Anas	AUTOPHAGY	2012	Review	884
465	Yu, Li	AUTOPHAGY	2012	Review	884
465	Yu, Long	AUTOPHAGY	2012	Review	884
465	Yu, Seong-Woon	AUTOPHAGY	2012	Review	884
465	Yu, Wai Haung	AUTOPHAGY	2012	Review	884
465	Yuan, Zhi-Min	AUTOPHAGY	2012	Review	884
465	Yue, Zhenyu	AUTOPHAGY	2012	Review	884
465	Yun, Cheol-Heui	AUTOPHAGY	2012	Review	884
465	Yuzaki, Michisuke	AUTOPHAGY	2012	Review	884
465	Zabirnyk, Olga	AUTOPHAGY	2012	Review	884
465	Silva-Zacarin, Elaine	AUTOPHAGY	2012	Review	884
465	Zacks, David	AUTOPHAGY	2012	Review	884
465	Zacksenhaus, Eldad	AUTOPHAGY	2012	Review	884
465	Zaffaroni, Nadia	AUTOPHAGY	2012	Review	884
465	Zakeri, Zahra	AUTOPHAGY	2012	Review	884
465	Zeh, Herbert J., III	AUTOPHAGY	2012	Review	884
465	Zeitlin, Scott O	AUTOPHAGY	2012	Review	884
465	Zhang, Hong	AUTOPHAGY	2012	Review	884
465	Zhang, Hui-Ling	AUTOPHAGY	2012	Review	884
465	Zhang, Jianhua	AUTOPHAGY	2012	Review	884
465	Zhang, Jing-Pu	AUTOPHAGY	2012	Review	884
465	Zhang, Lin	AUTOPHAGY	2012	Review	884
465	Zhang, Long	AUTOPHAGY	2012	Review	884
465	Zhang, Ming-Yong	AUTOPHAGY	2012	Review	884
465	Zhang, Xu Dong	AUTOPHAGY	2012	Review	884
465	Zhao, Mantong	AUTOPHAGY	2012	Review	884
465	Zhao, Yi-Fang	AUTOPHAGY	2012	Review	884
465	Zhao, Ying	AUTOPHAGY	2012	Review	884
465	Zhao, Zhizhuang J	AUTOPHAGY	2012	Review	884
465	Zheng, Xiaoxiang	AUTOPHAGY	2012	Review	884
465	Zhivotovsky, Boris	AUTOPHAGY	2012	Review	884
465	Zhong, Qing	AUTOPHAGY	2012	Review	884
465	Zhou, Cong-Zhao	AUTOPHAGY	2012	Review	884
465	Zhu, Changlian	AUTOPHAGY	2012	Review	884
465	Zhu, Wei-Guo	AUTOPHAGY	2012	Review	884
465	Zhu, Xiao-Feng	AUTOPHAGY	2012	Review	884
465	Zhu, Xiongwei	AUTOPHAGY	2012	Review	884
465	Zhu, Yuangang	AUTOPHAGY	2012	Review	884
465	Zoladek, Teresa	AUTOPHAGY	2012	Review	884
465	Zong, Wei-Xing	AUTOPHAGY	2012	Review	884
465	Zorzano, Antonio	AUTOPHAGY	2012	Review	884
465	Zschocke, Juergen	AUTOPHAGY	2012	Review	884
465	Zuckerbraun, Brian	AUTOPHAGY	2012	Review	884
466	Yuan Yuan	JOURNAL OF FOOD AGRICULTURE & ENVIRONMENT	2012	Article	33
466	Liu, Jintong	JOURNAL OF FOOD AGRICULTURE & ENVIRONMENT	2012	Article	33
466	Liu, Huitao	JOURNAL OF FOOD AGRICULTURE & ENVIRONMENT	2012	Article	33
466	Tan, Limei	JOURNAL OF FOOD AGRICULTURE & ENVIRONMENT	2012	Article	33
466	Liu, Hongjuan	JOURNAL OF FOOD AGRICULTURE & ENVIRONMENT	2012	Article	33
467	Zhao Li	GENES & GENOMICS	2012	Article	41
467	Liu, Ting	GENES & GENOMICS	2012	Article	41
467	An, Xia	GENES & GENOMICS	2012	Article	41
467	Gu, Riliang	GENES & GENOMICS	2012	Article	41
468	Ma Zhiguo	GENETICS	2012	Article	45
468	Liu, Zhonghua	GENETICS	2012	Article	45
468	Huang, Xun	GENETICS	2012	Article	45
469	Chen Lei	JOURNAL OF GENETICS AND GENOMICS	2012	Article	45
469	Liu, Ka	JOURNAL OF GENETICS AND GENOMICS	2012	Article	45
469	Zhao, Zongsheng	JOURNAL OF GENETICS AND GENOMICS	2012	Article	45
469	Blair, Hugh T	JOURNAL OF GENETICS AND GENOMICS	2012	Article	45
