Author,year,Number,meanIF,medianIF,sdIF
Ma-Biao,2014,2,3.631,3.631,0
Ma-Biao,2015,10,5.8895,5.5725,1.25332679519571
Ma-Biao,2016,3,5.946,5.468,1.04269458615646
Ma-Runlin Z,2010,3,2.90833333333333,2.487,0.832253166610577
Ma-Runlin Z,2011,2,8.814,8.814,6.83772257407391
Ma-Runlin Z,2012,4,3.14375,3.566,1.16433997755524
Ma-Runlin Z,2013,5,4.328,3.057,2.39605623890592
Ma-Runlin Z,2014,1,2.371,2.371,NA
Ma-Runlin Z,2015,3,2.776,2.584,0.419372149766767
Ma-Runlin Z,2016,2,2.509,2.509,2.22455793361288
Ma-Runlin Z,2017,1,5.008,5.008,NA
Qian-Qian,2010,6,13.6883333333333,5.468,13.9026246826514
Qian-Qian,2011,6,6.1885,6.2215,2.92799581625384
Qian-Qian,2012,10,14.8445,8.9805,13.5118754208618
Qian-Qian,2013,8,11.008125,7.84,11.209868515063
Qian-Qian,2014,8,9.59425,6.305,9.09280847310507
Qian-Qian,2015,6,10.9175,6.711,10.4554420996914
Qian-Qian,2016,2,5.5615,5.5615,2.23516453533068
Qian-Qian,2017,1,11.329,11.329,NA
Shen-Yanjun,2010,1,2.603,2.603,NA
Shen-Yanjun,2011,2,2.9055,2.9055,0.194454364826301
Shen-Yanjun,2013,4,2.26525,2.16,0.226119990270653
Shen-Yanjun,2014,1,2.433,2.433,NA
Shen-Yanjun,2015,3,3.42066666666667,3.085,0.618121616943894
Shen-Yanjun,2016,2,1.5965,1.5965,1.18298964492509
Shen-Yanjun,2017,2,3.49,3.49,1.02106219203337
Shen-Yi,2010,2,6.2595,6.2595,3.2222856018671
Shen-Yi,2011,2,4.7525,4.7525,1.01186980387795
Shen-Yi,2012,3,7.46966666666667,7.21,0.965065973565193
Shen-Yi,2013,1,7.142,7.142,NA
Shen-Yi,2014,2,5.321,5.321,1.89504617357995
Shen-Yi,2016,7,6.10985714285714,6.28,2.38185791827664
Shui-Guanghou,2011,2,6.661,6.661,0
Shui-Guanghou,2013,4,5.62075,4.567,2.59723267793499
Shui-Guanghou,2014,14,5.19564285714286,4.79,2.25218422552736
